event_hour,product_id,sales,type,date,week
2023-06-01 08:00:00,P002,0.0,actual,2023-06-01,2023-W22
2023-06-01 09:00:00,P023,0.0,actual,2023-06-01,2023-W22
2023-06-01 10:00:00,P025,1708.83,actual,2023-06-01,2023-W22
2023-06-01 11:00:00,P003,0.0,actual,2023-06-01,2023-W22
2023-06-01 11:00:00,P014,2246.64,actual,2023-06-01,2023-W22
2023-06-01 11:00:00,P025,0.0,actual,2023-06-01,2023-W22
2023-06-01 12:00:00,P004,0.0,actual,2023-06-01,2023-W22
2023-06-01 12:00:00,P011,1269.79,actual,2023-06-01,2023-W22
2023-06-01 12:00:00,P015,0.0,actual,2023-06-01,2023-W22
2023-06-01 12:00:00,P027,2924.43,actual,2023-06-01,2023-W22
2023-06-01 13:00:00,P002,2560.3,actual,2023-06-01,2023-W22
2023-06-01 13:00:00,P003,0.0,actual,2023-06-01,2023-W22
2023-06-01 13:00:00,P011,370.37,actual,2023-06-01,2023-W22
2023-06-01 13:00:00,P030,0.0,actual,2023-06-01,2023-W22
2023-06-01 14:00:00,P004,748.52,actual,2023-06-01,2023-W22
2023-06-01 14:00:00,P015,1759.74,actual,2023-06-01,2023-W22
2023-06-01 14:00:00,P016,0.0,actual,2023-06-01,2023-W22
2023-06-01 14:00:00,P021,1685.89,actual,2023-06-01,2023-W22
2023-06-01 14:00:00,P023,0.0,actual,2023-06-01,2023-W22
2023-06-01 16:00:00,P019,0.0,actual,2023-06-01,2023-W22
2023-06-01 16:00:00,P024,1329.61,actual,2023-06-01,2023-W22
2023-06-01 17:00:00,P009,0.0,actual,2023-06-01,2023-W22
2023-06-01 17:00:00,P014,238.02,actual,2023-06-01,2023-W22
2023-06-01 17:00:00,P027,0.0,actual,2023-06-01,2023-W22
2023-06-01 18:00:00,P006,2371.12,actual,2023-06-01,2023-W22
2023-06-01 19:00:00,P001,0.0,actual,2023-06-01,2023-W22
2023-06-01 19:00:00,P010,426.66,actual,2023-06-01,2023-W22
2023-06-01 19:00:00,P011,0.0,actual,2023-06-01,2023-W22
2023-06-01 19:00:00,P013,2614.28,actual,2023-06-01,2023-W22
2023-06-01 20:00:00,P005,0.0,actual,2023-06-01,2023-W22
2023-06-01 20:00:00,P021,2299.88,actual,2023-06-01,2023-W22
2023-06-01 20:00:00,P023,0.0,actual,2023-06-01,2023-W22
2023-06-01 22:00:00,P003,0.0,actual,2023-06-01,2023-W22
2023-06-01 22:00:00,P006,0.0,actual,2023-06-01,2023-W22
2023-06-01 23:00:00,P004,0.0,actual,2023-06-01,2023-W22
2023-06-01 23:00:00,P006,0.0,actual,2023-06-01,2023-W22
2023-06-01 23:00:00,P010,0.0,actual,2023-06-01,2023-W22
2023-06-02 00:00:00,P024,2226.0,actual,2023-06-02,2023-W22
2023-06-02 01:00:00,P006,0.0,actual,2023-06-02,2023-W22
2023-06-02 01:00:00,P028,0.0,actual,2023-06-02,2023-W22
2023-06-02 02:00:00,P004,0.0,actual,2023-06-02,2023-W22
